No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use declarative property bindings,QML's strength is reactive bindings that auto-update,Bind properties with : expressions,Imperative updates in JS for derived values,"width: parent.width * 0.5","Component.onCompleted: { width = parent.width * 0.5 }",High,https://doc.qt.io/qt-6/qtqml-syntax-propertybinding.html
2,Components,Keep QML files small and focused,One logical component per .qml file,Extract reusable elements into separate .qml files,Monolithic QML files with 500+ lines,"TransportButton { } // separate file","Button { id: transportBtn; /* 200 lines */ }",Medium,
3,Components,Use custom components via file naming,QML auto-registers .qml files as types,Name files with uppercase (PieCounter.qml),Register components manually when file naming works,"PieCounter { } // from PieCounter.qml","Loader { source: ""pie_counter.qml"" }",Medium,https://doc.qt.io/qt-6/qtqml-documents-definetypes.html
4,Components,Prefer composition over deep nesting,Build complex UI from simple composable pieces,Compose components: Row { TransportButton {} ModeDisplay {} },Deeply nested Item/Column/Row (10+ levels),"Row { PlayButton {} StopButton {} PauseButton {} }","Item { Column { Row { Item { Column { ... } } } } }",Medium,
5,Components,Use required properties for component APIs,Enforce mandatory inputs at compile time,required property for component interfaces,Optional properties with unclear defaults,"required property int duration","property int duration // caller may forget",High,https://doc.qt.io/qt-6/qtqml-syntax-objectattributes.html#required-properties
6,Properties,Use property aliases for child exposure,Expose child properties to parent without duplication,property alias for forwarding,"Duplicate properties with manual onChanged sync","property alias text: label.text","property string text; onTextChanged: label.text = text",Medium,https://doc.qt.io/qt-6/qtqml-syntax-objectattributes.html#property-aliases
7,Properties,Avoid breaking bindings with = assignment,JavaScript = assignment destroys declarative binding,Use States or conditional bindings,Assign with = then expect binding to work,"states: [ State { PropertyChanges { target: rect; color: ""red"" } } ]","onClicked: { rect.color = ""red"" } // breaks binding",High,
8,Properties,Group related properties with QtObject,Organize internal state cleanly,QtObject for internal property groups,Flat list of dozens of properties,"QtObject { id: internal; property bool playing: false; property int position: 0 }","property bool _playing; property int _position; // flat",Low,
9,Properties,Use default property for children,Enable natural content nesting syntax,default property alias for child items,Manual children assignment,"default property alias content: container.children","// caller must use target: container",Low,https://doc.qt.io/qt-6/qtqml-syntax-objectattributes.html#default-properties
10,State,Use States and Transitions for UI states,QML has built-in state machine for visual states,State for visual state changes with Transitions,Imperative if/else chains for visual properties,"states: [State { name: ""playing""; PropertyChanges { } }]","if (playing) { color = green } else { color = grey }",High,https://doc.qt.io/qt-6/qtquick-stateanimations-states.html
11,State,Avoid complex JS logic in QML,Business logic belongs in C++ backend,JS only for simple UI logic and glue,Complex algorithms or data processing in QML JS,C++ model with Q_PROPERTY exposed to QML,"function calculateSchedule() { /* 100 lines JS */ }",High,
12,State,Use Connections for signal handling,Explicit signal-slot connections in QML,Connections { target: engine; function onPlaybackStarted() {} },Inline signal handlers scattered everywhere,"Connections { target: audioEngine; function onStateChanged(s) { } }","Component.onCompleted: { audioEngine.stateChanged.connect(handleIt) }",Medium,https://doc.qt.io/qt-6/qtqml-syntax-signals.html
13,State,Expose C++ state via Q_PROPERTY with NOTIFY,Reactive properties bridge C++ to QML,Q_PROPERTY with NOTIFY signal for every bound property,Direct method calls for state that should be reactive,"Q_PROPERTY(int position READ position NOTIFY positionChanged)","Q_INVOKABLE int getPosition() // not bindable",High,https://doc.qt.io/qt-6/properties.html
14,State,Use QML_ELEMENT macro for C++ types,Modern registration of C++ types in QML,QML_ELEMENT in class declaration,qmlRegisterType() calls in main.cpp,"class PieCounter : public QQuickPaintedItem { QML_ELEMENT; }","qmlRegisterType<PieCounter>(""App"", 1, 0, ""PieCounter"");",Medium,https://doc.qt.io/qt-6/qtqml-cppintegration-definetypes.html
15,Layout,Use anchors for relative positioning,Anchors are more performant than manual x/y bindings,anchors.fill or anchors.left/right/top/bottom,Manual x/y/width/height bindings for relative layout,"anchors.fill: parent; anchors.margins: 8","x: parent.x + 8; y: parent.y + 8; width: parent.width - 16",High,https://doc.qt.io/qt-6/qtquick-positioning-anchors.html
16,Layout,Use RowLayout/ColumnLayout for flexible layouts,Layout types handle sizing and spacing,RowLayout/ColumnLayout with Layout.fillWidth,Row/Column for complex resizable layouts,"ColumnLayout { spacing: 8; Item { Layout.fillWidth: true } }","Column { spacing: 8; Item { width: parent.width } }",Medium,https://doc.qt.io/qt-6/qtquicklayouts-index.html
17,Layout,Avoid mixing anchors and layouts,Anchors and Layout attached properties conflict,Use anchors OR Layout properties per item,anchors inside RowLayout/ColumnLayout children,"ColumnLayout { Item { Layout.fillWidth: true } }","ColumnLayout { Item { anchors.fill: parent } } // conflict",High,
18,Layout,Use Layout.preferredWidth for sizing hints,Control item sizing within layouts,Layout.preferredWidth/Height and Layout.fillWidth,Fixed width/height inside layouts,"Layout.preferredWidth: 200; Layout.fillWidth: true","width: 200 // ignored by layout manager",Medium,
19,Layout,Set implicit sizes for custom components,Components should declare their natural size,implicitWidth/implicitHeight in custom items,Require parent to set explicit sizes,"Item { implicitWidth: 56; implicitHeight: 56 }","// caller must always set width/height",Medium,
20,Lists,Use ListView with delegates,Efficient list rendering with recycling,ListView for scrollable content,Repeater in Column for large lists,"ListView { model: logModel; delegate: LogLineDelegate {} }","Column { Repeater { model: logModel; LogLine {} } }",High,https://doc.qt.io/qt-6/qml-qtquick-listview.html
21,Lists,Set delegate sizes explicitly,Skip size calculation for performance,Specify height on delegate root item,Let delegate calculate its own height,"delegate: LogLine { width: ListView.view.width; height: 36 }","delegate: LogLine { height: childrenRect.height }",High,
22,Lists,Use DelegateModel for sections,Group list items with section headers,DelegateModel or section.property on ListView,Manual section logic in delegates,"section.property: ""hour""; section.delegate: HourHeader {}","// manual hour grouping in JS",Medium,https://doc.qt.io/qt-6/qml-qtquick-listview.html#section-prop
23,Lists,Use currentIndex for selection,Built-in selection tracking,ListView.currentIndex with highlight,Manual selection property in each delegate,"ListView { currentIndex: -1; highlight: Rectangle { color: ""#1E293B"" } }","property int selectedIndex; // manual tracking in each delegate",Medium,
24,Lists,Prefer C++ models for large data,QAbstractItemModel is much faster than JS arrays,QAbstractListModel subclass for log data,ListModel or JS arrays for 100+ items,"C++: class LogModel : public QAbstractListModel","ListModel { id: logModel } // slow for 1000+ items",High,https://doc.qt.io/qt-6/qabstractlistmodel.html
25,Controls,Use QtQuick.Controls for standard widgets,Styled cross-platform controls,Button/Slider/Switch from Controls,Custom painted buttons for standard interactions,"import QtQuick.Controls; Button { text: ""Play"" }","Rectangle { MouseArea { } Text { } } // custom button",Medium,https://doc.qt.io/qt-6/qtquickcontrols-index.html
26,Controls,Customize with Control.contentItem and background,Proper way to restyle controls,Override contentItem and background,Wrap controls in Rectangles or rebuild from scratch,"Button { background: Rectangle { color: ""#22C55E""; radius: 4 } }","Rectangle { color: ""#22C55E""; MouseArea { } } // not a real Button",Medium,https://doc.qt.io/qt-6/qtquickcontrols-customize.html
27,Controls,Use Popup/Dialog for modal overlays,Built-in modal system with proper focus handling,Popup with modal: true and dim,Custom z-order Rectangle overlay,"Popup { modal: true; dim: true; anchors.centerIn: Overlay.overlay }","Rectangle { z: 100; visible: showDialog } // no focus trapping",Medium,https://doc.qt.io/qt-6/qml-qtquick-controls-popup.html
28,Controls,Use StackView or SwipeView for navigation,Built-in view switching with transitions,StackView.push()/pop() for page navigation,Manual visible toggling of pages,"StackView { id: viewStack; initialItem: mainLogView }","Item { LogView { visible: currentTab === 0 } PanelView { visible: currentTab === 1 } }",Medium,https://doc.qt.io/qt-6/qml-qtquick-controls-stackview.html
29,Controls,Use Action for shared command handling,Centralize shortcut + button + menu behavior,Action with shortcut and triggered handler,Duplicate shortcut/button handlers,"Action { id: playAction; shortcut: ""Space""; onTriggered: engine.play() }","Button { onClicked: engine.play() } Shortcut { sequence: ""Space""; onActivated: engine.play() }",High,https://doc.qt.io/qt-6/qml-qtquick-controls-action.html
30,Animation,Use Behavior for property animations,Automatic animation when property changes,Behavior on x/y/opacity/color for smooth transitions,Manual NumberAnimation triggered by state,"Behavior on opacity { NumberAnimation { duration: 150 } }","SequentialAnimation { id: fadeAnim } // triggered manually for simple fade",Low,https://doc.qt.io/qt-6/qml-qtquick-behavior.html
31,Animation,Use Transition with States,Animate between declared states,Transition for State changes,Manual property animation triggers,"transitions: Transition { ColorAnimation { duration: 150 } }","onStateChanged: { colorAnim.start() }",Medium,https://doc.qt.io/qt-6/qml-qtquick-transition.html
32,Animation,Avoid animation on rapidly updating values,100ms timer ticks should not trigger 150ms animations,No Behavior on timer-driven properties (position/time),Behavior on properties updated every 100ms,"text: formatTime(remaining) // direct update, no Behavior","Behavior on text { /* animates every 100ms tick — jank */ }",High,
33,Animation,Use Canvas or QQuickPaintedItem for custom drawing,Pie charts and meters need pixel-level control,Canvas/QQuickPaintedItem for pie counter and audio meters,QML Rectangles/rotation hacks for circular graphics,"Canvas { onPaint: { var ctx = getContext(""2d""); ctx.arc(...) } }","Rectangle { rotation: angle; /* fake pie slice */ }",Medium,https://doc.qt.io/qt-6/qml-qtquick-canvas.html
34,Animation,Respect reduced-motion preference,Check system accessibility settings,Read animation preference and disable pulse/glow,Always animate regardless,"property bool reduceMotion: Qt.styleHints.animationsEnabled === false","// always pulse ON AIR indicator",High,
35,Performance,Avoid unnecessary JS evaluation,QML bindings are optimized; JS functions are not,Simple binding expressions,Complex JS functions in bindings,"visible: model.status === ""playing""","visible: isPlaying(model.status) // function call every eval",Medium,
36,Performance,Use Loader for heavy components,Lazy-load views that are not always visible,Loader { active: tabIndex === 2; source: ... },All views created at startup,"Loader { active: stackView.currentIndex === 2; sourceComponent: SoundPanel {} }","SoundPanel { visible: currentTab === 2 } // created but hidden",High,https://doc.qt.io/qt-6/qml-qtquick-loader.html
37,Performance,Set clip only when needed,clip: true forces extra render pass,clip: true only on scrollable views,clip: true on every container,"ListView { clip: true }","Rectangle { clip: true; /* not scrollable */ }",Medium,
38,Performance,Avoid creating objects in bindings,Object allocation in bindings causes GC pressure,Pre-allocate objects or use simple types,Qt.rgba() / Qt.point() in frequently-evaluated bindings,"property color activeColor: ""#22C55E""","color: Qt.rgba(0.13, 0.77, 0.37, 1.0) // allocates each eval",Medium,
39,Performance,Use ShaderEffectSource for complex effects,Cache visual tree as texture for blur/glow,ShaderEffectSource for expensive sub-tree effects,layer.enabled on many items,"ShaderEffectSource { sourceItem: panelGrid; live: false }","Rectangle { layer.enabled: true } // on every item",Low,https://doc.qt.io/qt-6/qml-qtquick-shadereffectsource.html
40,Accessibility,Set Accessible.name on interactive items,Screen readers need descriptive names,Accessible.name on every button and control,Missing Accessible properties,"Button { Accessible.name: ""Play current log item"" }","Button { } // no accessible name",High,https://doc.qt.io/qt-6/accessible-qml.html
41,Accessibility,Set Accessible.role correctly,Correct semantics for AT tools,Accessible.role for custom items,Default role for custom interactive items,"Item { Accessible.role: Accessible.Button; Accessible.name: ""Stop"" }","MouseArea { } // no role, invisible to screen reader",High,
42,Accessibility,Support keyboard focus and activeFocusOnTab,Keyboard users must navigate all controls,activeFocusOnTab: true on interactive items,Mouse-only interactions,"Button { activeFocusOnTab: true; focus: true }","MouseArea { /* no keyboard equivalent */ }",High,
43,Accessibility,Use FocusScope for focus groups,Manage keyboard focus within panels,FocusScope for each panel (log list / sound panel / controls),Flat focus chain across entire window,"FocusScope { id: transportControls; /* tab within group */ }","// all buttons in one flat tab chain",Medium,https://doc.qt.io/qt-6/qml-qtquick-focusscope.html
44,Accessibility,Provide visible focus indicator,Keyboard users need to see focus,Rectangle border or highlight on activeFocus,No visual focus feedback,"Rectangle { border.color: activeFocus ? ""#60A5FA"" : ""transparent""; border.width: 2 }","// no visual change on focus",High,
45,Models,Use roleNames for model-view separation,Clean data interface between C++ model and QML delegate,Named roles accessed in delegate,Direct index/column access,"text: model.title // via roleNames","text: model.data(model.index, 0) // column index",Medium,https://doc.qt.io/qt-6/qabstractitemmodel.html#roleNames
46,Models,Emit dataChanged with specific roles,Minimal QML delegate updates,dataChanged with roles parameter,dataChanged without roles (triggers full delegate rebind),"emit dataChanged(idx, idx, {StatusRole})","emit dataChanged(idx, idx) // rebinds all roles",High,
47,Models,Use beginInsertRows/endInsertRows,Correct model mutation protocol,begin/end pairs for insert/remove/move/reset,Direct data manipulation without notification,"beginInsertRows(QModelIndex(), row, row); /* insert */ endInsertRows();","m_items.append(item); emit layoutChanged(); // resets entire view",High,
48,Models,Provide SortFilterProxyModel for views,Separate filtering from data model,QSortFilterProxyModel between model and view,Filter logic in QML JS,C++: QSortFilterProxyModel with custom filterAcceptsRow,"// JS filter in onModelChanged: for(var i...) { if(...) }",Medium,https://doc.qt.io/qt-6/qsortfilterproxymodel.html
49,Architecture,Separate QML (view) from C++ (logic),QML for UI declaration; C++ for business logic and performance,C++ for audio engine / log engine / timers / models,Complex business logic in QML JS,"// C++: LogPlayEngine exposes Q_PROPERTY / signals; QML: binds to them","// QML: function playNext() { /* 50 lines of JS logic */ }",High,
50,Architecture,Use singletons for app-wide services,Expose engine/config as QML singletons,QML_SINGLETON for app services,Passing context objects through every component,"// C++: QML_SINGLETON class AppConfig; QML: AppConfig.stationName","// QML: property var config passed through 8 levels",Medium,https://doc.qt.io/qt-6/qtqml-cppintegration-definetypes.html#registering-singleton-types
51,Architecture,Use Connections to C++ signals,React to backend events in QML,Connections { target: cppObject; function onSignal() {} },Polling C++ state with Timer,Connections { target: logEngine; function onTransportChanged() {} },"Timer { interval: 100; repeat: true; onTriggered: checkState() }",High,
52,Architecture,Use QML modules (qt_add_qml_module),Modern CMake-based QML module system,qt_add_qml_module for project structure,Manual qmldir files and resource management,"qt_add_qml_module(airplay URI Airplay VERSION 1.0 QML_FILES Main.qml)","// manual qmldir + qrc file management",Medium,https://doc.qt.io/qt-6/qt-add-qml-module.html
53,Testing,Use Qt Quick Test for QML,Built-in QML test framework,TestCase {} for QML component testing,No QML-level tests,"TestCase { name: ""TransportButton""; function test_click() { ... } }","// only C++ unit tests, no QML coverage",Medium,https://doc.qt.io/qt-6/qtquicktest-index.html
54,Testing,Test C++ models independently,Unit test models without QML,QTest for model correctness,Only test through QML UI,"// QTest: verify rowCount, data(role), insert/remove signals","// only manual testing via running the app",Medium,
55,Testing,Use objectName for test selectors,Find QML items in tests,"objectName: ""playButton"" for findChild<>()",Fragile positional selectors,"Button { objectName: ""playButton"" } // findChild<QQuickItem*>(""playButton"")","// find by index: children().at(3)",Medium,
